"BIE","cveent","Estado","ABR"
"Aguascalientes",1,"Aguascalientes","AGS"
"Baja California",2,"Baja California","BC"
"Baja California Sur",3,"Baja California Sur","BCS"
"Campeche",4,"Campeche","CAMP"
"Chiapas",7,"Chiapas","CHIS"
"Chihuahua",8,"Chihuahua","CHIH"
"Ciudad de México",9,"Ciudad de México","CDMX"
"Coahuila de Zaragoza",5,"Coahuila","COAH"
"Colima",6,"Colima","COL"
"Durango",10,"Durango","DGO"
"Guanajuato",11,"Guanajuato","GTO"
"Guerrero",12,"Guerrero","GRO"
"Hidalgo",13,"Hidalgo","HGO"
"Jalisco",14,"Jalisco","JAL"
"México",15,"México","MEX"
"Michoacán de Ocampo",16,"Michoacán","MICH"
"Morelos",17,"Morelos","MOR"
"Nayarit",18,"Nayarit","NAY"
"Nuevo León",19,"Nuevo León","NL"
"Oaxaca",20,"Oaxaca","OAX"
"Puebla",21,"Puebla","PUE"
"Querétaro",22,"Querétaro","QRO"
"Quintana Roo",23,"Quintana Roo","ROO"
"San Luis Potosí",24,"San Luis Potosí","SLP"
"Sinaloa",25,"Sinaloa","SIN"
"Sonora",26,"Sonora","SON"
"Tabasco",27,"Tabasco","TAB"
"Tamaulipas",28,"Tamaulipas","TAM"
"Tlaxcala",29,"Tlaxcala","TLX"
"Veracruz de Ignacio de la Llave",30,"Veracruz","VER"
"Yucatán",31,"Yucatán","YUC"
"Zacatecas",32,"Zacatecas","ZAC"
"República Mexicana",0,"Rep Mex","MEX*"
